g_date,location_name,injury_type_name,vehicle_damage_name,vehicle_collision_type_name
2025/03/03,LOC_001,No injury,Yes,Unknown
2025/03/20,LOC_001,No injury,No,Unknown
2025/04/08,LOC_001,Minor injury,Yes,Contact with moving vehicle
2025/04/22,LOC_001,No injury,No,Unknown
2025/05/10,LOC_001,No injury,No,Unknown
2025/05/28,LOC_001,Minor injury,No,Contact with moving vehicle
2025/06/12,LOC_001,No injury,Yes,Unknown
2025/06/25,LOC_001,No injury,No,Unknown
2025/07/08,LOC_001,No injury,No,Unknown
2025/07/22,LOC_001,Minor injury,Yes,Contact with moving vehicle
2025/08/05,LOC_001,No injury,No,Unknown
2025/08/20,LOC_001,No injury,No,Unknown
2025/09/05,LOC_001,No injury,Yes,Unknown
2025/10/15,LOC_001,Minor injury,No,Contact with moving vehicle
2025/10/28,LOC_001,No injury,No,Unknown
2025/11/12,LOC_001,No injury,No,Unknown
2025/11/28,LOC_001,No injury,Yes,Unknown
2025/12/10,LOC_001,Minor injury,No,Contact with moving vehicle
2025/12/22,LOC_001,No injury,No,Unknown
2025/01/10,LOC_002,No injury,No,Unknown
2025/02/12,LOC_002,Minor injury,Yes,Contact with moving vehicle
2025/03/15,LOC_002,No injury,No,Unknown
2025/04/20,LOC_002,No injury,No,Unknown
2025/05/08,LOC_002,No injury,Yes,Unknown
2025/06/10,LOC_002,Minor injury,No,Contact with moving vehicle
2025/07/15,LOC_002,No injury,No,Unknown
2025/08/20,LOC_002,No injury,No,Unknown
2025/09/12,LOC_002,No injury,Yes,Unknown
2025/10/18,LOC_002,Minor injury,Yes,Contact with moving vehicle
2025/11/22,LOC_002,No injury,No,Unknown
2025/12/10,LOC_002,No injury,No,Unknown
2025/12/28,LOC_002,No injury,No,Unknown
2025/01/18,LOC_003,No injury,No,Unknown
2025/03/12,LOC_003,No injury,Yes,Unknown
2025/05/20,LOC_003,Minor injury,No,Contact with moving vehicle
2025/07/25,LOC_003,No injury,No,Unknown
2025/09/30,LOC_003,No injury,No,Unknown
2025/12/05,LOC_003,No injury,Yes,Unknown
